,Water,Energy,Protein,Carbohydrates,Sodium,Sugar
3120,0.396,0.24057649667405764,0.15081521739130438,0.4247,0.008565973476443573,0.03717434869739479
3121,0.4178,0.3093126385809313,0.15262681159420294,0.2986,0.02079570669281181,
3122,0.6535,0.17184035476718404,0.3379755434782609,0.0,0.0017544764951751897,0.0
3123,0.3015,0.3436807095343681,0.11050724637681161,0.45890000000000003,0.013210175963672017,0.02444889779559118
3124,0.6263000000000001,0.2106430155210643,0.29800724637681164,0.0,0.0023737034934723155,
3125,0.8842,0.03991130820399113,0.02366394927536232,0.0818,0.007198513855204087,
3126,0.5522,0.2926829268292683,0.16089221014492758,0.0409,0.023659631559936015,0.040981963927855705
3127,0.043899999999999995,0.7128603104212861,0.16179800724637683,0.1786,0.016590123329377163,0.03577154308617234
3128,0.5133,0.24611973392461198,0.11254528985507248,0.295,0.010501057846122092,0.05330661322645291
3129,0.6263000000000001,0.23392461197339245,0.29495018115942034,0.0,0.0013674596212394862,0.0
3130,0.01,0.6862527716186253,0.1948596014492754,0.2059,7.740337478714073e-05,
3131,0.6459999999999999,0.24057649667405764,0.2241847826086957,0.0011,0.0015480674957428144,0.0
3132,0.8417,0.06873614190687362,0.005661231884057972,0.1363,7.740337478714073e-05,
3133,0.8890000000000001,0.04988913525498891,0.027740036231884063,0.0571,0.008307962227153104,0.01222444889779559
3134,0.0123,0.6629711751662971,0.2514719202898551,0.2231,0.00043861912379379743,0.10511022044088177
3135,0.03,0.5210643015521065,0.05661231884057972,0.7390000000000001,0.009804427473037825,0.28256513026052105
3136,0.897,0.04656319290465632,0.026041666666666668,0.065,,
3137,0.7917000000000001,0.10310421286031042,0.024003623188405803,0.1277,0.008798183600804995,
3138,0.518,0.2660753880266075,0.19927536231884063,0.106,0.030987151039785336,0.08036072144288577
3139,0.7448,0.13968957871396895,0.23856431159420294,0.0,0.001393260746168533,0.0
3140,0.7305,0.14301552106430154,0.2537364130434783,0.0,0.0015480674957428144,0.0
3141,0.0259,0.4157427937915743,0.07246376811594205,0.8509000000000001,0.020873110067598948,0.08016032064128256
3142,0.4177,0.31263858093126384,0.13292572463768118,0.31980000000000003,0.01767377057639713,0.03266533066132264
3143,0.7293999999999999,0.14855875831485588,0.06770833333333334,0.1396,0.008643376851230714,0.014128256513026051
3144,0.9314,0.036585365853658534,0.0323822463768116,0.0174,0.0009546416223747356,0.004108216432865731
3145,0.0286,0.41685144124168516,0.1002038043478261,0.7968999999999999,0.01460343670984055,0.32955911823647294
3146,0.8724,0.04988913525498891,0.00622735507246377,0.1182,2.5801124929046907e-05,0.08306613226452905
3147,0.5069,0.3514412416851441,0.28600543478260876,0.0,0.0018060787450332836,0.0
3148,0.402,0.26053215077605324,0.10303442028985509,0.46299999999999997,0.007688735228855979,0.00811623246492986
3149,0.03,0.48558758314855877,0.10190217391304349,0.667,0.028561845296454925,0.022044088176352707
3150,0.10460000000000001,0.41019955654101997,0.07710597826086957,0.8168000000000001,0.00018060787450332834,
3151,0.004,0.4246119733924612,0.0,0.99,0.00015480674957428145,
3152,0.48369999999999996,0.2583148558758315,0.05921648550724639,0.3775,0.011894318592290624,0.08336673346693386
3153,0.6912999999999999,0.12971175166297116,0.09216485507246379,0.207,0.006269673357758398,
3154,0.5970000000000001,0.24833702882483372,0.03396739130434783,0.23600000000000002,0.0018576809948913774,0.23647294589178358
3155,0.5844,0.2394678492239468,0.2045969202898551,0.10130000000000002,0.011971721967077764,
3156,0.7625000000000001,0.1164079822616408,0.23629981884057977,0.0014000000000000002,0.0050054182362351,0.0006012024048096192
3157,0.8169,0.09090909090909091,0.009057971014492756,0.113,0.01785437845090046,0.037374749498997994
3158,0.02,0.4700665188470067,0.07359601449275363,0.877,0.0038443676144279894,0.3166332665330661
3159,0.8244,0.10199556541019955,0.04268568840579711,0.0647,0.010475256721193045,
3160,0.02,0.5532150776053215,0.045289855072463775,0.6829999999999999,0.0068630992311264774,0.39779559118236474
3161,0.106,0.5554323725055432,0.07586050724637683,0.504,0.018809020073275194,
3162,0.7855,0.0975609756097561,0.05570652173913044,0.1349,0.0071727127302750405,
3163,0.8790000000000001,0.057649667405764965,0.023097826086956527,0.0776,0.008746581350946902,0.01633266533066132
3164,0.7434999999999999,0.1286031042128603,0.23245018115942034,0.0,0.0012642551215232985,0.0
3165,0.6465000000000001,0.15077605321507762,0.10575181159420291,0.2446,0.006114866608184117,
3166,0.6428,0.2017738359201774,0.3115942028985508,0.0,0.0014964652458847206,0.0
3167,0.5735,0.2915742793791574,0.18432971014492758,0.0184,0.0321224005366634,0.0
3168,0.9236,0.02993348115299335,0.00803894927536232,0.0639,7.740337478714073e-05,0.04799599198396794
3169,0.7701000000000001,0.12971175166297116,0.21908967391304351,0.0,0.001677073120388049,0.0
3170,0.873,0.050997782705099776,0.002830615942028986,0.1208,0.0006966303730842664,0.12104208416833667
3171,0.7172,0.16851441241685144,0.23607336956521743,0.0,0.001702874245317096,0.0
3172,0.555,0.19401330376940132,0.003396739130434783,0.43100000000000005,0.00025801124929046907,
3173,0.0,1.0,0.0,0.0,0.0,
