,VitaminC
1165,0.0
1166,1.1
1167,0.0
1168,0.0
1169,2.0
1170,0.0
1171,0.8
1172,0.0
1173,0.0
1174,
1175,0.0
1176,0.0
1177,88.9
1178,0.7
1179,
1180,0.2
1181,15.1
1182,0.7
1183,8.3
1184,1.7
1185,0.0
1186,0.3
1187,3.0
1188,0.2
1189,24.9
1190,0.5
1191,2.7
1192,0.0
1193,0.0
1194,11.0
1195,0.0
1196,7.0
1197,0.2
1198,0.0
1199,1.8
1200,0.0
1201,149.0
1202,0.0
1203,0.0
1204,0.1
1205,0.0
1206,22.0
1207,0.0
1208,12.0
1209,0.0
1210,
1211,0.0
1212,3.1
1213,1.6
1214,0.0
1215,0.0
1216,0.2
1217,0.0
1218,93.2
1219,0.6
1220,0.0
1221,0.8
1222,0.0
1223,0.0
1224,0.0
1225,4.4
1226,9.3
1227,6.2
1228,1.2
1229,0.0
1230,0.0
1231,4.2
1232,26.4
1233,0.0
1234,0.0
1235,1.2
1236,15.1
1237,0.0
1238,0.8
1239,0.0
1240,26.7
1241,1.8
1242,2.2
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,6.8
1248,0.1
1249,0.0
1250,34.2
1251,0.6
1252,0.1
1253,17.0
1254,0.2
1255,0.0
1256,9.2
1257,0.0
1258,18.0
1259,0.0
1260,6.0
1261,0.0
1262,0.8
1263,2.0
1264,5.9
1265,51.4
1266,0.0
1267,0.9
1268,0.0
1269,490.0
1270,0.0
1271,0.0
1272,40.7
1273,0.0
1274,0.8
1275,34.1
1276,2.7
1277,0.0
1278,1.5
1279,
1280,0.0
1281,
1282,0.8
1283,
1284,1.8
1285,0.0
1286,0.0
1287,62.0
1288,
1289,0.0
1290,0.0
1291,
1292,10.8
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,
1298,0.0
1299,0.0
1300,31.3
1301,0.0
1302,0.0
1303,0.0
1304,8.2
1305,0.0
1306,0.6
1307,1.0
1308,12.4
1309,4.2
1310,5.1
1311,1.4
1312,2.3
1313,0.0
1314,
1315,130.0
1316,16.7
1317,0.0
1318,32.0
1319,0.2
1320,0.7
1321,0.0
1322,16.0
1323,0.0
1324,0.0
1325,0.0
1326,1.2
1327,26.5
1328,
1329,0.0
1330,
1331,28.9
1332,51.7
1333,0.0
1334,2.2
1335,0.0
1336,7.7
1337,0.0
1338,0.0
1339,0.0
1340,5.0
1341,0.8
1342,0.1
1343,0.0
1344,0.0
1345,0.0
1346,0.7
1347,0.0
1348,0.3
1349,1.0
1350,0.3
1351,0.1
1352,0.0
1353,
1354,54.0
1355,0.0
1356,0.0
1357,0.0
1358,0.1
1359,0.1
1360,0.2
1361,1.6
1362,93.2
1363,0.0
1364,0.0
1365,0.9
1366,0.0
1367,0.0
1368,4.9
1369,0.0
1370,0.0
1371,0.0
1372,1.2
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,12.7
1378,39.1
1379,0.0
1380,0.0
1381,4.1
1382,0.6
1383,15.8
1384,0.0
1385,1.0
1386,6.3
1387,
1388,0.0
1389,0.0
1390,2.5
1391,0.0
1392,0.0
1393,15.9
1394,0.0
1395,0.0
1396,
1397,25.2
1398,54.5
1399,7.9
1400,0.0
1401,1.8
1402,
1403,4.1
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,1.7
1409,0.0
1410,0.0
1411,0.2
1412,0.0
1413,0.0
1414,3.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.3
1420,0.0
1421,7.9
1422,0.0
1423,0.0
1424,0.0
1425,0.3
1426,26.9
1427,0.0
1428,0.2
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.7
1437,0.0
1438,0.0
1439,7.8
1440,0.0
1441,0.0
1442,1.3
